BayerF,Common,Parallax,Distance,Umag,Vmag,Bmag,Temp,RA_decimal,Dec_decimal,RA,Dec,Diameter_U,Diameter_V,Diameter_B,Phi_U,Phi_V,Phi_B,SII,Baseline_Needed,Inverse_Diameter
λ Scorpii,Shaula,,125.0,0.52,1.73,1.41,28000.0,12.443,-62.901,17h 33m 36.5s,-37° 06′ 14″,0.82,0.64,0.64,2.0606045555633998e-05,1.0029678957412406e-05,1.102339935585186e-05,False,212.26638415008034,1.5625
ε Ursae Majoris,Alioth,0.009,28.571,1.77,1.86,1.75,24000.0,13.792,49.313,12h 54m 01.7s,+55° 57′ 35″,1.56,0.65,1.49,6.516203752499331e-06,8.89788998587905e-06,8.059638101909236e-06,True,209.00074747084838,1.5384615384615383
ε Carinae,Avior,,52.632,3.33,1.98,3.14,28000.0,6.378,-16.044,08h 22m 30.8s,-59° 30′ 35″,8.12,0.57,5.51,1.5487975594796526e-06,7.966857181092643e-06,2.240348296521535e-06,True,238.33418571237095,1.7543859649122808
α Pavonis,Peacock,,41.667,1.03,2.05,1.74,33000.0,5.679,-0.057,20h 25m 38.9s,-56° 44′ 06″,0.65,0.51,0.55,1.2882336987474141e-05,7.469422607597101e-06,8.134213015085467e-06,True,266.3735016785322,1.9607843137254901
α Geminorum,Castor,0.067,66.667,2.02,2.06,2.01,30000.0,5.796,-8.33,07h 34m 36.0s,+31° 53′ 18″,1.46,0.53,1.38,5.176004623826516e-06,7.40094252951142e-06,6.343304234573873e-06,True,256.3216714265121,1.8867924528301885
θ Centauri,Menkent,0.065,71.429,3.94,2.23,3.07,33000.0,5.533,0.299,14h 06m 41.0s,-36° 22′ 12″,4.15,0.47,4.12,8.830690334109142e-07,6.328299600957815e-06,2.3895468032746778e-06,False,289.04358692776907,2.127659574468085
β Cassiopeiae,Caph,0.072,62.5,2.72,2.47,2.61,30000.0,0.945,60.717,00h 09m 10.7s,+59° 08′ 59″,2.17,0.44,1.88,2.716405840871466e-06,5.073258968632882e-06,3.6501905912536953e-06,False,308.7511042182987,2.272727272727273
ε Scorpii,,0.022,76.923,4.71,2.5,3.44,26000.0,9.369,-54.989,16h 50m 09.8s,-34° 17′ 36″,3.74,0.47,4.28,4.3450487717417405e-07,4.93499857723922e-06,1.6994779779960648e-06,False,289.04358692776907,2.127659574468085
η Centauri,,,333.333,1.29,2.56,2.12,33000.0,16.619,-9.433,14h 35m 30.4s,-42° 09′ 28″,0.55,0.41,0.44,1.01389890874249e-05,4.669679045071057e-06,5.732123533233121e-06,True,331.34264842939376,2.4390243902439024
β Ursae Majoris,Merak,0.053,38.462,2.36,2.6,2.35,26000.0,12.139,-49.277,11h 01m 50.5s,+56° 22′ 57″,1.25,0.45,1.18,3.784379276770457e-06,4.500772194648171e-06,4.637837644322793e-06,False,301.8899685690032,2.2222222222222223
β Pegasi,Scheat,0.022,111.111,6.05,2.62,4.09,28000.0,16.091,-18.194,23h 03m 46.5s,+28° 04′ 58″,14.49,0.43,16.08,1.2647207838743026e-07,4.418623844097392e-06,9.339326131297506e-07,False,315.9313624559336,2.3255813953488373
γ Ursae Majoris,Phecda,0.028,1000.0,2.46,2.64,2.44,16000.0,5.661,-33.926,11h 53m 49.8s,+53° 41′ 41″,1.14,0.6,1.08,3.4513949206485413e-06,4.337974869921644e-06,4.268895673577673e-06,False,226.4174764267524,1.6666666666666667
γ¹ Leonis,Algieba,0.022,40.0,4.76,2.77,3.76,33000.0,5.591,-4.09,10h 19m 58.3s,+19° 50′ 30″,3.21,0.37,3.32,4.149489362914913e-07,3.848460485920581e-06,1.2656555891627681e-06,False,367.16347528662544,2.7027027027027026
β¹ Scorpii,Acrab,0.009,125.0,1.68,2.78,2.55,26000.0,15.586,-40.833,16h 05m 26.2s,-19° 48′ 20″,0.46,0.41,0.36,7.079370725424912e-06,3.813177588107674e-06,3.857585328803869e-06,False,331.34264842939376,2.4390243902439024
α Serpentis,Unukalhai,0.053,333.333,5.06,2.8,3.82,26000.0,12.252,-57.251,15h 44m 16.1s,+06° 25′ 32″,3.19,0.41,3.59,3.14770957852938e-07,3.7435792534945915e-06,1.1976103519561352e-06,False,331.34264842939376,2.4390243902439024
ι Aurigae,Kabdhilinan,0.021,50.0,6.0,2.82,4.22,30000.0,16.598,-27.784,04h 56m 59.6s,+33° 09′ 58″,2.37,0.38,3.35,1.324325238108093e-07,3.6752512316506115e-06,8.285439325763821e-07,False,357.5012785685564,2.6315789473684212
υ Scorpii,Lesath,,100.0,1.65,2.85,2.47,28000.0,3.902,31.884,17h 30m 45.8s,-37° 17′ 45″,0.49,0.38,0.39,7.277708486216254e-06,3.575090432271e-06,4.152556415066174e-06,False,357.5012785685564,2.6315789473684212
δ Ophiuchi,Yed Prior,0.034,125.0,6.28,2.87,4.32,16000.0,3.791,24.105,16h 14m 20.7s,-03° 41′ 40″,7.68,0.54,9.35,1.0232803998383619e-07,3.5098376779924884e-06,7.556410473922279e-07,False,251.57497380750266,1.8518518518518516
ι Orionis,Nair Al Saif,0.025,111.111,1.45,2.89,2.53,30000.0,3.964,40.01,05h 35m 26.0s,-05° 54′ 36″,0.46,0.36,0.33,8.74973007849117e-06,3.4457759207031708e-06,3.929303194603522e-06,False,377.362460711254,2.7777777777777777
β Ophiuchi,Cebalrai,0.033,100.0,5.17,2.89,3.93,28000.0,15.981,-25.886,17h 43m 28.4s,+04° 34′ 02″,3.03,0.38,3.41,2.8444261040687187e-07,3.4457759207031708e-06,1.0822199642695407e-06,False,357.5012785685564,2.6315789473684212
β Eridani,Cursa,0.05,52.632,3.02,2.9,2.92,14000.0,7.453,8.289,05h 07m 51.0s,-05° 05′ 11″,1.03,0.6,0.99,2.0606045555633996e-06,3.414184857174979e-06,2.7435668159161346e-06,False,226.4174764267524,1.6666666666666667
τ Scorpii,Alniyat,0.02,142.857,1.54,2.95,2.57,26000.0,17.531,-48.124,16h 35m 53.0s,-28° 12′ 58″,0.46,0.38,0.34,8.053685303703014e-06,3.2605212259087636e-06,3.787176461577277e-06,False,357.5012785685564,2.6315789473684212
α Tucanae,,0.026,125.0,5.79,3.0,4.25,22000.0,5.627,21.142,22h 18m 30.1s,-60° 15′ 35″,2.61,0.41,3.3,1.6069214783097347e-07,3.113773597308396e-06,8.059638101909238e-07,False,331.34264842939376,2.4390243902439024
δ Capricorni,Deneb Algedi,0.087,62.5,3.25,3.01,3.16,20000.0,3.715,47.788,21h 47m 02.4s,-16° 07′ 38″,1.05,0.43,0.98,1.6672266957346309e-06,3.0852263493768173e-06,2.1994573317583475e-06,False,315.9313624559336,2.3255813953488373
α Geminorum,Castor,0.067,76.923,2.94,3.01,2.92,14000.0,21.899,-36.635,07h 34m 36.0s,+31° 53′ 19″,1.01,0.57,0.95,2.2181691231111664e-06,3.0852263493768173e-06,2.7435668159161346e-06,False,238.33418571237095,1.7543859649122808
ε Persei,,0.009,250.0,1.72,3.02,2.71,26000.0,6.339,-29.937,03h 57m 51.2s,+40° 00′ 37″,0.43,0.37,0.32,6.8233029741584404e-06,3.056940824187461e-06,3.3290133849383334e-06,False,367.16347528662544,2.7027027027027026
β Canis Minoris,Gomeisa,0.019,66.667,2.53,3.05,2.81,26000.0,12.771,-67.892,07h 27m 09.0s,+08° 17′ 22″,0.63,0.36,0.57,3.235896748497019e-06,2.973630699978817e-06,3.0360962914246738e-06,False,377.362460711254,2.7777777777777777
ζ Tauri,Tien Kwan,0.008,45.455,2.14,3.17,2.81,24000.0,5.109,41.234,05h 37m 38.7s,+21° 08′ 33″,0.45,0.36,0.38,4.634412166496023e-06,2.662484154517597e-06,3.0360962914246738e-06,False,377.362460711254,2.7777777777777777
γ Hydrae,,0.027,43.478,4.58,3.17,3.92,18000.0,17.146,65.715,13h 18m 55.3s,-23° 10′ 18″,2.65,0.43,2.46,4.897727922465811e-07,2.662484154517597e-06,1.0922336223088347e-06,False,315.9313624559336,2.3255813953488373
ι¹ Scorpii,,0.019,83.333,3.81,3.23,3.54,12000.0,20.188,0.821,17h 47m 35.1s,-40° 07′ 37″,1.32,0.61,1.23,9.953931680881484e-07,2.519341448552129e-06,1.5499423371790784e-06,False,222.70571451811713,1.639344262295082
ο Ceti,Mira,0.024,71.429,5.55,3.23,4.46,28000.0,21.478,70.561,02h 19m 20.7s,-02° 58′ 39″,120.87,0.32,64.35,2.004447360726462e-07,2.519341448552129e-06,6.642254952994457e-07,False,424.5327683001607,3.125
γ Ursae Minoris,Pherkad,0.003,47.619,3.22,3.24,3.1,12000.0,18.982,32.689,15h 20m 43.7s,+71° 50′ 02″,0.94,0.6,0.91,1.7139362158867497e-06,2.496243987317881e-06,2.324425018970581e-06,False,226.4174764267524,1.6666666666666667
λ Centauri,,,43.478,2.92,3.31,3.09,12000.0,5.216,-15.794,11h 35m 46.8s,-63° 01′ 11″,0.66,0.58,0.61,2.259407966048582e-06,2.3403835225264024e-06,2.3459326588648985e-06,False,234.22497561388178,1.7241379310344829
ζ Draconis,Aldhibain,0.023,142.857,2.62,3.36,3.05,28000.0,5.408,-1.603,17h 08m 47.2s,+65° 42′ 53″,0.44,0.3,0.4,2.9784797763915756e-06,2.2350489124594486e-06,2.433971795167847e-06,False,452.8349528535048,3.3333333333333335
κ Ophiuchi,,0.031,111.111,5.53,3.37,4.35,26000.0,15.378,-43.311,16h 57m 40.1s,+09° 22′ 30″,2.57,0.31,2.81,2.0417128194437744e-07,2.2145578608626717e-06,7.35047731022713e-07,False,438.2273737291982,3.2258064516129035
ζ Cygni,,0.027,100.0,4.95,3.38,4.19,24000.0,1.907,63.67,21h 12m 56.2s,+30° 13′ 37″,2.24,0.32,2.17,3.4833302846549317e-07,2.1942546723561212e-06,8.517566664023236e-07,False,424.5327683001607,3.125
θ¹ Eridani,Acamar,0.035,43.478,3.52,3.4,3.38,14000.0,22.691,10.831,02h 58m 15.7s,-40° 18′ 17″,0.87,0.48,0.84,1.300153578402063e-06,2.154205011047616e-06,1.7960380836692698e-06,False,283.0218455334405,2.0833333333333335
γ Lyrae,Sulafat,0.021,125.0,3.1,3.41,3.19,26000.0,16.002,-37.603,18h 58m 56.6s,+32° 41′ 22″,0.61,0.31,0.58,1.914232368564008e-06,2.134455140794049e-06,2.1395160132838217e-06,False,438.2273737291982,3.2258064516129035
π Hydrae,,0.049,31.25,5.43,3.44,4.39,12000.0,19.104,-3.118,14h 06m 22.3s,-26° 40′ 57″,2.69,0.55,2.76,2.2386935893061213e-07,2.0762853124838803e-06,7.084603369086334e-07,False,247.000883374639,1.8181818181818181
σ Librae,Brachium,0.064,500.0,6.93,3.47,4.99,24000.0,4.011,12.49,15h 04m 04.2s,-25° 16′ 55″,13.1,0.31,13.65,5.6233440512855546e-08,2.0197007734875806e-06,4.076763718765666e-07,False,438.2273737291982,3.2258064516129035
β Phoenicis,,0.021,250.0,4.77,3.47,4.2,24000.0,7.946,-51.018,01h 06m 05.0s,-46° 43′ 07″,2.43,0.31,2.16,4.1114466157688215e-07,2.0197007734875806e-06,8.43947714346792e-07,False,438.2273737291982,3.2258064516129035
α Reticuli,,0.013,333.333,4.89,3.52,4.26,10000.0,10.122,16.763,04h 14m 25.5s,-62° 28′ 26″,2.3,0.66,2.1,3.6812444351975367e-07,1.928799264662401e-06,7.985746895646558e-07,False,205.83406947886579,1.5151515151515151
ο Ursae Majoris,Muscida,0.009,142.857,4.72,3.53,4.2,10000.0,15.827,-2.57,08h 30m 15.9s,+60° 43′ 05″,2.02,0.66,1.82,4.3052131251587865e-07,1.9111159267131964e-06,8.43947714346792e-07,False,205.83406947886579,1.5151515151515151
ε Cassiopeiae,Segin,0.01,142.857,2.63,3.54,3.23,36000.0,5.586,9.934,01h 54m 23.7s,+63° 40′ 12″,0.33,0.25,0.29,2.951172909665831e-06,1.8935947105807743e-06,2.0621276301111872e-06,False,543.4019434242057,4.0
λ Aquilae,Al Thalimain,0.032,166.667,3.08,3.6,3.35,20000.0,5.293,-5.156,19h 06m 14.9s,-04° 52′ 57″,0.61,0.33,0.54,1.949820605353729e-06,1.7917896837172286e-06,1.8463564220678502e-06,False,411.66813895773157,3.0303030303030303
β Lyrae,Sheliak,-0.002,62.5,2.89,3.6,3.45,9750.0,9.06,47.157,18h 50m 04.8s,+33° 21′ 46″,0.53,0.66,0.43,2.3227082132147303e-06,1.7917896837172286e-06,1.6838970702402775e-06,False,205.83406947886579,1.5151515151515151
μ Pegasi,Sadalbari,0.04,66.667,5.09,3.62,4.41,18000.0,23.032,42.326,22h 50m 00.2s,+24° 36′ 06″,2.1,0.35,1.96,3.061925753770612e-07,1.7590858363138211e-06,6.955294784712974e-07,False,388.1442453030041,2.857142857142857
ε Gruis,,0.044,29.412,3.67,3.63,3.57,14000.0,2.833,27.261,22h 48m 33.3s,-51° 19′ 01″,0.76,0.43,0.73,1.1323864281393088e-06,1.7429584404281388e-06,1.5077021055053279e-06,False,315.9313624559336,2.3255813953488373
ξ² Sagittarii,,0.011,55.556,5.82,3.65,4.69,10000.0,14.073,64.376,18h 57m 43.8s,-21° 06′ 24″,1.97,0.62,2.16,1.5631284068533693e-07,1.7111458636596488e-06,5.374221243765084e-07,False,219.1136868645991,1.6129032258064517
β Cancri,Altarf,0.012,250.0,6.77,3.66,5.0,26000.0,0.616,53.897,08h 16m 30.9s,+09° 11′ 08″,1.93,0.27,2.64,6.516203752499331e-08,1.6954579840851128e-06,4.039387724332844e-07,False,503.1499476150053,3.7037037037037033
ι Cephei,,0.041,24.39,5.47,3.67,4.57,9500.0,15.77,15.422,22h 49m 40.8s,+66° 12′ 02″,2.05,0.66,2.07,2.15771785637417e-07,1.6799139318550182e-06,6.002270192602784e-07,False,205.83406947886579,1.5151515151515151
η Herculis,,0.034,1000.0,5.05,3.69,4.45,26000.0,4.853,5.605,16h 42m 53.8s,+38° 55′ 20″,1.99,0.27,1.82,3.1768349766620105e-07,1.6492520470492817e-06,6.703714981366772e-07,False,503.1499476150053,3.7037037037037033
φ Velorum,,,50.0,2.84,3.7,3.46,18000.0,3.748,24.113,09h 56m 51.8s,-54° 34′ 04″,0.35,0.34,0.3,2.4321740788494376e-06,1.634131613396213e-06,1.6684590091054023e-06,False,399.5602525177983,2.941176470588235
ι Lupi,,,24.39,2.65,3.71,3.37,9500.0,15.847,4.478,14h 19m 24.2s,-46° 03′ 28″,0.31,0.65,0.26,2.897307933560738e-06,1.6191498047121342e-06,1.8126566194468536e-06,False,209.00074747084838,1.5384615384615383
φ Eridani,,,333.333,3.05,3.72,3.44,24000.0,4.904,2.441,02h 16m 30.6s,-51° 30′ 44″,0.49,0.28,0.43,2.004447360726462e-06,1.6043053500756637e-06,1.6994779779960648e-06,False,485.1803066287552,3.571428571428571
δ Crateris,,0.024,27.027,5.65,3.72,4.68,10000.0,14.771,1.893,11h 19m 20.5s,-14° 46′ 43″,1.62,0.6,1.73,1.8280777199008675e-07,1.6043053500756637e-06,5.423948300684557e-07,False,226.4174764267524,1.6666666666666667
ε Crucis,,0.026,25.641,6.64,3.75,5.01,10000.0,17.798,2.707,12h 21m 21.6s,-60° 24′ 04″,1.77,0.59,2.33,7.345048293738554e-08,1.5605835753766323e-06,4.00235439507667e-07,False,230.2550607729686,1.6949152542372883
δ Muscae,,0.03,125.0,6.06,3.77,4.8,12000.0,20.661,15.912,13h 02m 16.2s,-71° 32′ 56″,2.01,0.47,2.29,1.253125754032477e-07,1.5320997150367848e-06,4.856412198595565e-07,False,289.04358692776907,2.127659574468085
ζ² Scorpii,,0.028,47.619,6.64,3.77,4.99,9750.0,20.795,-8.504,16h 54m 35.0s,-42° 21′ 41″,2.05,0.61,2.65,7.345048293738554e-08,1.5320997150367848e-06,4.076763718765666e-07,False,222.70571451811713,1.639344262295082
δ Arae,,,25.0,3.21,3.77,3.52,9750.0,22.522,50.282,17h 31m 05.9s,-60° 41′ 02″,0.46,0.61,0.41,1.7297950724350586e-06,1.5320997150367848e-06,1.5787579166310764e-06,False,222.70571451811713,1.639344262295082
ζ Cassiopeiae,,0.004,200.0,2.59,3.8,3.46,24000.0,17.658,46.006,00h 36m 58.3s,+53° 53′ 49″,0.32,0.27,0.25,3.061925753770612e-06,1.4903457443515103e-06,1.6684590091054023e-06,False,503.1499476150053,3.7037037037037033
τ Librae,,,142.857,2.79,3.81,3.49,33000.0,5.646,-1.4,15h 38m 39.4s,-29° 46′ 40″,0.29,0.23,0.25,2.546798911792643e-06,1.4766821724384616e-06,1.6229888690929446e-06,False,590.6542863306584,4.3478260869565215
,,0.041,23.81,4.1,3.82,4.0,9250.0,9.314,36.802,09h 31m 31.7s,+63° 03′ 43″,1.03,0.64,0.91,7.620696320309328e-07,1.4631438689056854e-06,1.0146483216357997e-06,False,212.26638415008034,1.5625
α Pyxidis,,,100.0,2.62,3.82,3.5,10000.0,16.515,1.984,08h 43m 35.5s,-33° 11′ 11″,0.3,0.58,0.23,2.9784797763915756e-06,1.4631438689056854e-06,1.608109217702684e-06,False,234.22497561388178,1.7241379310344829
γ Capricorni,Nashira,0.029,43.478,4.2,3.83,4.0,28000.0,3.739,32.288,21h 40m 05.5s,-16° 39′ 44″,0.98,0.24,0.91,6.950157647561817e-07,1.4497296852857445e-06,1.0146483216357997e-06,False,566.043691066881,4.166666666666667
,,0.027,200.0,5.76,3.83,4.91,12000.0,18.126,28.762,09h 45m 14.8s,-62° 30′ 28″,1.25,0.46,1.31,1.6519414695118954e-07,1.4497296852857445e-06,4.3884943274394427e-07,False,295.3271431653292,2.1739130434782608
χ Ursae Majoris,Al Kaphrah,0.019,30.303,6.05,3.84,4.89,12000.0,15.712,26.296,11h 46m 03.0s,+47° 46′ 46″,1.57,0.46,1.78,1.2647207838743026e-07,1.4364384836404497e-06,4.470082528454151e-07,False,295.3271431653292,2.1739130434782608
β Aquilae,Alshain,0.07,21.739,5.05,3.84,4.57,10000.0,22.361,-0.613,19h 55m 18.8s,+06° 24′ 24″,2.14,0.57,1.82,3.1768349766620105e-07,1.4364384836404497e-06,6.002270192602784e-07,False,238.33418571237095,1.7543859649122808
ξ Cygni,,0.007,29.412,7.2,3.85,5.37,9500.0,10.246,-41.878,21h 04m 55.9s,+43° 55′ 40″,1.58,0.61,2.23,4.385253013024318e-08,1.4232691364642918e-06,2.8728671364308887e-07,False,222.70571451811713,1.639344262295082
τ Cygni,,0.055,90.909,4.13,3.85,4.11,28000.0,10.547,9.307,21h 14m 47.5s,+38° 02′ 44″,1.14,0.24,0.94,7.413011188828226e-07,1.4232691364642918e-06,9.168864218594059e-07,False,566.043691066881,4.166666666666667
ξ Tauri,,-0.017,41.667,3.32,3.86,3.65,9500.0,12.628,-47.459,03h 27m 10.2s,+09° 43′ 58″,0.55,0.61,0.47,1.5631284068533692e-06,1.4102205265887599e-06,1.4006045772917867e-06,False,222.70571451811713,1.639344262295082
λ Aquarii,,0.017,83.333,7.12,3.86,5.38,14000.0,18.229,-20.941,22h 52m 36.9s,-07° 34′ 47″,8.86,0.39,8.88,4.7205723214861e-08,1.4102205265887599e-06,2.8465285322083247e-07,False,348.3345791180807,2.564102564102564
ζ Aurigae,Haedus,0.005,25.641,5.35,3.87,4.97,8750.0,0.946,38.499,05h 02m 28.7s,+41° 04′ 33″,3.71,0.68,2.68,2.409875772864156e-07,1.3972915470876509e-06,4.1525564150661744e-07,False,199.78012625889914,1.4705882352941175
δ Cephei,,0.011,76.923,,3.87,4.35,18000.0,12.558,69.788,22h 29m 10.3s,+58° 24′ 55″,,0.31,0.98,,1.3972915470876509e-06,7.35047731022713e-07,False,438.2273737291982,3.2258064516129035
δ¹ Tauri,Hyadum II,0.021,37.037,5.56,3.88,4.74,12000.0,9.239,2.314,04h 22m 56.1s,+17° 32′ 33″,1.97,0.45,1.91,1.9860704768637693e-07,1.384481101183077e-06,5.132341443434561e-07,False,301.8899685690032,2.2222222222222223
ν Persei,,0.02,90.909,4.5,3.89,4.19,20000.0,11.35,-53.509,03h 45m 11.6s,+42° 34′ 43″,1.15,0.29,1.06,5.272233734357967e-07,1.3717881021525047e-06,8.517566664023236e-07,False,468.44995122776356,3.4482758620689657
β Volantis,,0.042,62.5,6.04,3.89,4.9,9500.0,12.332,0.667,08h 25m 44.2s,-66° 08′ 13″,1.78,0.6,1.96,1.2764231012063002e-07,1.3717881021525047e-06,4.429100565499393e-07,False,226.4174764267524,1.6666666666666667
ο Sagittarii,,0.044,33.333,5.63,3.89,4.78,20000.0,16.329,46.313,19h 04m 41.0s,-21° 44′ 30″,1.76,0.29,1.76,1.862064222184641e-07,1.3717881021525047e-06,4.946699642330392e-07,False,468.44995122776356,3.4482758620689657
ε Aquarii,Albali,0.021,38.462,3.79,3.9,3.77,10000.0,8.428,-2.094,20h 47m 40.6s,-09° 29′ 45″,0.65,0.56,0.61,1.0138989087424898e-06,1.3592114732365315e-06,1.2540519889745534e-06,False,242.5901533143776,1.7857142857142856
,,0.059,33.333,5.38,3.91,4.73,9750.0,4.053,5.989,10h 53m 29.6s,-58° 51′ 12″,2.41,0.57,2.12,2.3441999677009733e-07,1.3467501475475122e-06,5.179830414117323e-07,False,238.33418571237095,1.7543859649122808
ζ Geminorum,Mekbuda,-0.006,333.333,5.2,3.91,4.58,9750.0,8.767,-45.958,07h 04m 06.5s,+20° 34′ 13″,0.95,0.57,0.99,2.766907595971572e-07,1.3467501475475122e-06,5.947241048708484e-07,False,238.33418571237095,1.7543859649122808
,,0.007,76.923,5.49,3.92,5.07,18000.0,1.14,-54.754,20h 13m 37.9s,+46° 44′ 29″,2.61,0.3,2.02,2.1183350671128183e-07,1.3344030679791192e-06,3.787176461577277e-07,False,452.8349528535048,3.3333333333333335
κ Persei,Misam,0.033,35.714,5.61,3.92,4.78,10000.0,17.005,30.926,03h 09m 29.8s,+44° 51′ 26″,1.92,0.55,1.88,1.8966825807209593e-07,1.3344030679791192e-06,4.946699642330392e-07,False,247.000883374639,1.8181818181818181
δ Leporis,,0.022,100.0,5.48,3.94,4.8,9750.0,20.953,41.167,05h 51m 19.3s,-20° 52′ 45″,2.04,0.56,1.86,2.1379357801610656e-07,1.3100474671480593e-06,4.856412198595565e-07,False,242.5901533143776,1.7857142857142856
λ Ophiuchi,Marfik,0.01,21.277,3.84,3.95,3.83,9750.0,13.399,54.922,16h 30m 54.8s,+01° 59′ 02″,0.6,0.56,0.57,9.682659408243033e-07,1.2980368797761517e-06,1.1866305942524057e-06,False,242.5901533143776,1.7857142857142856
ο Persei,Atik,0.023,31.25,3.13,3.96,3.88,24000.0,12.194,-51.631,03h 44m 19.1s,+32° 17′ 18″,0.23,0.25,0.2,1.862064222184641e-06,1.2861364061311505e-06,1.1332234198572593e-06,False,543.4019434242057,4.0
,Praecipua,0.024,62.5,5.78,3.96,4.87,10000.0,20.01,-71.089,10h 53m 18.7s,+34° 12′ 54″,1.78,0.54,1.8,1.6217901396827034e-07,1.2861364061311505e-06,4.553187567374561e-07,False,251.57497380750266,1.8518518518518516
γ Aquarii,Sadachbia,0.046,19.608,3.67,4.0,3.79,9500.0,9.041,-65.604,22h 21m 39.4s,-01° 23′ 14″,0.65,0.57,0.58,1.1323864281393088e-06,1.239615596568624e-06,1.2311629606158805e-06,False,238.33418571237095,1.7543859649122808
β Pictoris,,0.061,25.641,4.12,4.01,4.02,9750.0,2.289,33.847,05h 47m 17.1s,-51° 03′ 59″,0.7,0.55,0.66,7.481602936843661e-07,1.2282507324675045e-06,9.961289026546278e-07,False,247.000883374639,1.8181818181818181
ω Canis Majoris,,,22.222,2.95,4.01,3.68,8750.0,13.42,54.988,07h 14m 48.7s,-26° 46′ 22″,0.27,0.64,0.22,2.197832826353315e-06,1.2282507324675045e-06,1.3624342141698937e-06,False,212.26638415008034,1.5625
ρ Leonis,,0.011,33.333,2.75,4.01,3.71,24000.0,16.2,-18.539,10h 32m 48.7s,+09° 18′ 24″,0.28,0.24,0.21,2.6423762403592484e-06,1.2282507324675045e-06,1.3253040994125247e-06,False,566.043691066881,4.166666666666667
,Sceptrum,0.044,40.0,5.97,4.02,4.96,12000.0,22.589,0.118,04h 38m 10.8s,-14° 18′ 14″,2.09,0.42,2.13,1.3614279287953325e-07,1.21699006206674e-06,4.1909795465018e-07,False,323.45353775250345,2.380952380952381
κ Draconis,,0.013,40.0,3.17,4.03,3.74,18000.0,20.554,11.303,12h 33m 29.0s,+69° 47′ 18″,0.34,0.29,0.29,1.7947115411933435e-06,1.205832630112764e-06,1.289185883363763e-06,False,468.44995122776356,3.4482758620689657
υ¹ Centauri,,,50.0,2.87,4.04,3.67,24000.0,4.144,47.713,13h 58m 40.8s,-44° 48′ 13″,0.28,0.24,0.23,2.3658905829430852e-06,1.1947774901097874e-06,1.3750406627405892e-06,False,566.043691066881,4.166666666666667
θ Hydrae,,0.027,1000.0,3.7,4.05,3.82,12000.0,11.352,6.029,09h 14m 21.9s,+02° 18′ 51″,0.46,0.42,0.44,1.1015257542152251e-06,1.1838237042395765e-06,1.1976103519561352e-06,False,323.45353775250345,2.380952380952381
μ Leonis,Rasalas,0.025,333.333,6.49,4.05,5.1,10000.0,14.343,-36.115,09h 52m 45.8s,+26° 00′ 25″,1.65,0.52,1.99,8.433243798525397e-08,1.1838237042395765e-06,3.683965388952762e-07,False,261.25093433856046,1.923076923076923
ρ Scorpii,,,83.333,2.86,4.05,3.68,24000.0,15.147,-44.72,15h 56m 53.1s,-29° 12′ 51″,0.28,0.24,0.22,2.3877818989769653e-06,1.1838237042395765e-06,1.3624342141698937e-06,False,566.043691066881,4.166666666666667
τ Herculis,,0.03,40.0,3.18,4.07,3.74,26000.0,1.728,50.689,16h 19m 44.4s,+46° 18′ 48″,0.3,0.23,0.26,1.7782575268821057e-06,1.162216486535505e-06,1.289185883363763e-06,False,590.6542863306584,4.3478260869565215
γ Apodis,,0.056,1000.0,5.42,4.07,4.8,26000.0,2.658,0.329,16h 33m 27.0s,-78° 53′ 50″,1.8,0.23,1.64,2.2594079660485818e-07,1.162216486535505e-06,4.856412198595565e-07,False,590.6542863306584,4.3478260869565215
,,0.003,18.868,3.86,4.07,3.91,9250.0,15.292,-57.199,08h 46m 01.7s,-46° 02′ 30″,0.63,0.57,0.57,9.505930957005716e-07,1.162216486535505e-06,1.102339935585186e-06,False,238.33418571237095,1.7543859649122808
ι Hydrae,,0.026,58.824,6.69,4.07,5.23,9750.0,21.099,-16.767,09h 39m 51.4s,-01° 08′ 34″,1.5,0.53,1.88,7.014466664489725e-08,1.162216486535505e-06,3.2682520429492114e-07,False,256.3216714265121,1.8867924528301885
σ Centauri,,,35.714,2.94,4.08,3.72,8750.0,11.415,-16.316,12h 28m 02.4s,-50° 13′ 50″,0.27,0.62,0.22,2.2181691231111664e-06,1.1515612217404099e-06,1.3131536383952655e-06,False,219.1136868645991,1.6129032258064517
ν Eridani,,,20.0,2.83,4.09,3.72,9250.0,2.362,-67.341,04h 36m 19.1s,-03° 21′ 09″,0.28,0.57,0.22,2.4546787085196838e-06,1.1410036450001478e-06,1.3131536383952655e-06,False,238.33418571237095,1.7543859649122808
α Monocerotis,,0.024,16.949,5.83,4.09,4.95,9000.0,3.04,-22.376,07h 41m 14.8s,-09° 33′ 04″,1.74,0.59,1.73,1.5487975594796524e-07,1.1410036450001478e-06,4.2297582027952736e-07,False,230.2550607729686,1.6949152542372883
ν² Canis Majoris,,0.058,27.778,6.02,4.11,5.01,9500.0,19.158,-36.096,06h 36m 41.0s,-19° 15′ 21″,1.8,0.54,1.87,1.300153578402063e-07,1.1201779814571928e-06,4.00235439507667e-07,False,251.57497380750266,1.8518518518518516
λ Pegasi,,0.042,35.714,5.93,4.12,5.02,9500.0,6.04,9.647,22h 46m 31.9s,+23° 33′ 56″,1.42,0.54,1.48,1.412520162213425e-07,1.1099081279932904e-06,3.965660589423953e-07,False,251.57497380750266,1.8518518518518516
